TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,TotalAmount,PurchaseDate,PaymentMode
T100307,C1494,Male,62,Ahmedabad,Furniture,2,2044.96,4089.92,None,Cash
T100712,C1050,Male,37,Surat,Beauty,5,91.3,456.5,2025-05-22,Cash
T100373,C1510,N/A,47,Vadodara,Electronics,6,None,26958.42,2025-11-11,Wallet
T101880,C1113,Other,41,Jaipur,Groceries,4,2521.12,10084.48,2025-07-28, UpI
T100601,C1398,Other,41,Ahmedabad,Sports,1,3786.66,3786.66,2025-01-12,Wallet
T100486,C1416,Male,50,Rajkot,Groceries,2,1772.89,3545.78,2025-07-20,Cash
T100360,C1516,Other,66,Surat,Furniture,1,2809.66,2809.66,2025-07-25,Wallet
T101712,C1351,Male,59,Ahmedabad,Groceries,1,4206.94,4206.94,2025/02/30,Wallet
T100359,C1077,Male,44,,Sports,1,473.66,473.66,2025-01-23,Card
T100658,C1470,Female,28,Rajkot,ELECTRONICS,4,743.11,2972.44,2025-08-19,Wallet
T100391,C1411,female,50,Ahmedabad,Furniture,5,3573.07,17865.35,2025-01-03,Cash
T101891,C1524,Male,34,Nashik,Electronics,3,2594.64,7783.92,2025-02-18,Wallet
T101923,C1513,Female,50,Delhi,Sports,7,332.29,2326.03,2025-03-29,UPI
T100951,C1187,Male,33,Delhi,Furniture,2,2475.31,wrong,2025-10-05,Card
T101935,C1503,,29,Surat,Electronics,5,3019.37,15096.85,2025-06-01,Wallet
T100309,C1527,Other,39,Nashik,Sports,3,4066.2,12198.6,2025-08-26,UPI
T101806,C1484,Female,28,Jaipur,Beauty,2,2884.35,5768.7,2025-03-28,Wallet
T100627,C1060,Male,67,Pune,Sports,6,1146.6,6879.6,2025-12-17,Cash
T101718,C1339,Other,24,Jaipur,Sports,7,4779.85,null,2025-08-11,Wallet
T101782,C1422,Other,56,Ahmedabad,Beauty,7,2034.9,14244.3,2025-09-29,Cash
T101637,C1357,Other,40,Pune,Groceries,five,2890.81,5781.62,2025-04-30,Card
T101336,C1078,female,63,Rajkot,Groceries,1,3807.79,3807.79,2025-02-20,Cash
T100510,C1536,Female,37,Surat,Groceries,4,3897.52,15590.08,2025-10-25,Card
T100148,C1018,Other,62,Rajkot,BEAUTY,1,3633.52,3633.52,2025-12-28,Cash
T100648,C1171,Male,63,Ahmedabad,Fashion,3,1942.25,5826.75,2025-06-30,Cash
T100215,C1338,Female,37,Nashik,Beauty,1,358.43,358.43,2025-10-12,Wallet
T100198,C1356,Other,21,Jaipur,Furniture,6,3163.21,18979.26,not-a-date,Cash
T100423,C1519,Other,33,Pune,Sports,2,1252.69,2505.38,2025-06-10,Card
T100205,C1423,Male,42,Mumbai,Sports,4,2601.81,10407.24,2025-02-09,Cash
T100914,C1399,Female,32,Surat,Fashion,4,4733.12,18932.48,2025-05-10,Wallet
T100049,C1272,Female,20,Nashik,Beauty,4,1133.32,4533.28,2025-07-21,Card
T101233,C1216,Female,65,Jaipur,Beauty,3,2216.24,6648.72,2025-05-12,Cash
T100245,C1054,Male,23,Nashik,Fashion,1,1274.5,1274.5,2025-05-04,cash
T100236,C1107,Female,53,Delhi,Furniture,4,3963.26,15853.04,2025-07-24,Card
T100297,C1242,Female,23,Nashik,Beauty,6,418.39,NA,2025-08-30,Card
T101234,C1399,Male,66,Delhi,Sports,2,4303.38,8606.76,2025-01-05,Cash
T100523,C1375,,50,Pune,Beauty,4,1066.96,4267.84,2025-05-11,Card
T101492,C1562,Female,48,Ahmedabad,Groceries,4,1139.7,4558.8,2025-12-29,Card
T101070,C1515,f,65,Surat,Sports,4,1788.12,7152.48,2025-10-26,Cash
T101016,C1079,Female,unknown,Delhi,Furniture,3,3108.16,9324.48,null,UPI
T101986,C1021,Female,50,Nashik,Groceries,3,1484.37,4453.11,2025-11-22,UPI
T100900,C1031,MALE,25,Nashik,Fashion,1,1535.79,1535.79,2025-07-12,Wallet
T100600,C1072,Other,unknown,Rajkot,Electronics,2,4466.69,8933.38,2025-08-17,UPI
T100212,C1406,Male,27,Rajkot,Furniture,1,707.11,707.11,2025-11-02,Cash
T100986,C1585,Male,68,Ahmedabad,Furniture,5,2769.37,13846.85,2025-07-22,Cash
T101930,C1402,Other,?,Rajkot,Groceries,2,4177.05,8354.1,2025-01-19,UPI
T101187,C1010,Other,24,Ahmedabad,Sports,3,824.74,2474.22,2025-03-06,Cash
T101360,C1568,Female,18,Rajkot,Beauty,1,2010.56,2010.56,2025-06-06,Cash
T100602,C1380,Female,18,N/A,Fashion,5,811.54,4057.7,2025-10-16,UPI
T100871,C1421,Other,-5,Delhi,Sports,0,2268.27,2268.27,2025-11-17,cash
T100835,C1005,Female,23,Jaipur,Electronics,7,3890.41,27232.87,2025-02-06,UPI
T100785,C1511,Male,51,Ahmedabad,Beauty,4,2097.29,8389.16,2025-02-19,Wallet
T100169,C1442,Male,69,Surat,Groceries,1,4347.3,4347.3,2025-11-25,Wallet
T101311,C1208,Other,65,Surat,Sports,5,2234.87,11174.35,2025-04-24,Wallet
T100220,C1015,Other,57,Ahmedabad,Groceries,5,521.05,2605.25,2025-08-16,Cash
T100979,C1326,Other,49,Delhi,Groceries,1,3075.8,3075.8,2025-05-04,Cash
T100237,C1467,Male,,Mumbai,Electronics,2,1545.62,3091.24,2025-01-02,Cash
T101024,C1053,FEMALE,48,Mumbai,Electronics,5,1039.14,5195.7,2025/02/30,Cash
T101826,C1556,Male,63,Surat,Beauty,7,267.5,1872.5,2025-11-11,Cash
T100098,C1361,Male,54,Surat,Beauty,7,4445.16,31116.12,2025-06-21,Card
T100745,C1380,Other,64,Ahmedabad,Furniture,5,441.47,2207.35,2025-02-05,Cash
T101200,C1473,Other,25,Vadodara,Fashion,4,4247.41,16989.64,2025-08-11,Card
T100319,C1107,Female,45,NA,Furniture,1,1529.16,1529.16,2025/02/30,Card
T101002,C1241,Other,35,Jaipur,Fashion,2,2692.78,5385.56,2025-04-05,Wallet
T100357,C1298,Female,66,Pune,Furniture,1,252.8,252.8,2025-03-05,Wallet
T101633,C1416,Other,36,Jaipur,Fashion,2,427.0,854.0,2025-11-26,Card
None,C1024,Other,33,Jaipur,N/A,6,4839.23,29035.38,2025-08-22,Card
T101597,C1282,Other,47,Surat,Beauty,4,968.93,3875.72,2025-11-05,cash
T101681,C1227,Male,35,Rajkot,Groceries,3,3458.4,10375.2,2025-07-06,Cash
T100143,C1441,Female,56,Vadodara,Electronics,3,free,7340.94,2025-07-25,UPI
T100022,C1421,Male,23,N/A,Groceries,4,1015.27,4061.08,2025-10-26,Wallet
T101391,C1544,Female,36,Mumbai,Fashion,5,4405.73,22028.65,2025-06-04,UPI
T101270,C1242,Female,45,Rajkot,Furniture,1,3300.2,3300.2,2025-09-16,e-wallet
T100356,C1545,Male,18,?,Electronics,4,1399.11,5596.44,2025-07-29,UPI
T101796,C1042,Other,57,Indore,Fashion,2,1895.59,3791.18,2025-11-22,UPI 
T100168,C1282,Male,23,Rajkot,Fashion,1,1451.85,1451.85,2025-12-31,Cash
T100303,C1127,FEMALE,30,Surat,Groceries,3,1027.14,3081.42,2025-08-11,upi
T100731,C1378,FEMALE,32,,Groceries,7,663.3,4643.1,,Cash
T101613,C1310,Other,43, VADODARA,N/A,1,1614.83,1614.83,2025-09-15,Wallet
T100571,C1238,Male,23,Rajkot,Fashion,6,2820.08,16920.48,2025-07-13,Cash
T100183,C1208,Female,31,Delhi,Sports,4,2706.96,10827.84,2025-01-26,UPI
T101794,C1516,Female,26,Ahmedabad,Electronics,1,4265.37,4265.37,2025-04-08,Wallet
T101041,C1522,Female,48,Rajkot,Sports,3,4778.56,14335.68,2025-10-23,Wallet
T101071,C1163,Other,65,Jaipur,Beauty,3,4386.69,13160.07,2025-08-01,Cash
T100355,C1224,Female,52,Vadodara,Beauty,5,2565.45,12827.25,2025-06-19,UPI
T101069,C1343,Male,22,Delhi,Electronics,2,4320.06,8640.12,2025-07-27,e-wallet
T100497,C1138,Male,56,Indore,Fashion,2,552.66,1105.32,2025-07-08,UPI
T100029,C1323,Other,54,Vadodara,Electronics,4,2013.66,8054.64,2025-10-16,Wallet
T101134,C1209,Female,50,Surat,Groceries,2,0,2650.96,2025-04-28,UPI
T101611,C1047,Male,22,Delhi,Groceries,2,3954.08,7908.16,2025-01-08,Card
T101714,C1178,Female,65,Surat,Furniture,7,1869.68,13087.76,2025-07-08,UPI
T101612,C1580,Male,32,Surat,Electronics,7,4372.33,30606.31,2025-10-25,Card
T100472,C1597,Other,35,Vadodara,Fashion,5,4179.97,20899.85,2025-10-18,Card
T101192,C1500,Male,68,Ahmedabad,Groceries,7,3748.99,26242.93,2025-09-20,Card
T101896,C1010,Female,70,Rajkot,Fashion,5,812.64,4063.2,2025-06-22,Card
T100033,C1177,Male,39,Surat,Sports,5,2263.71,11318.55,2025-06-06,Wallet
T101497,C1332,Female,60,Mumbai,Sports,7,4153.68,29075.76,2025-07-22,Cash
T101505,C1070,Male,48,Ahmedabad, Electronics ,6,1839.44,11036.64,2025-12-11,CASH
T101593,C1539,Male,32,delhi,Fashion,3,4972.09,14916.27,2025-02-26,UPI
T101904,C1370,Other,39,N/A,electronics,1,1069.4,1069.4,2025-12-05,UPI
T100339,C1090,Male,30,Mumbai,Sports,2,3800.39,7600.78,2025-06-26,UPI
T100747,C1152,Other,52,Nashik,Groceries,5,804.88,4024.4,2025-03-05,Wallet
T101515,C1414,Female,25,delhi,Beauty,4,1105.47,4421.88,2025-08-27,CASH
T101597,C1282,Other,47,Surat,Beauty,4,968.93,3875.72,2025-11-05,cash
T101479,C1578,Female,60,Nashik,Beauty,5,3636.64,18183.2,2025-04-09,Card
T101410,C1035,Other,20,Delhi,Sports,4,2557.65,10230.6,2025-08-10,UPI
T100792,C1520,Female,36,Jaipur,Furniture,?,3790.57,26533.99,2025-06-03,Wallet
T100768,C1063,Male,55,Pune,Beauty,2,2556.34,5112.68,2025-03-01,Card
T100795,C1244,Other,61,Jaipur,Furniture,7,686.39,4804.73,2025-08-07,Cash
T101128,C1569,Male,36,Delhi NCR,Groceries ,five,580.4,580.4,2025-11-04,Cash
T100788,C1126,Female,unknown,Nashik,Fashion,3,2570.39,7711.17,2025-09-21,Wallet
T101137,C1322,Other,34,Nashik,Groceries,7,2299.73,16098.11,2025-09-21,UPI
T101005,C1083,Other,58,surat ,Sports,6,4756.34,28538.04,2025-07-23,Cash
T101665,C1313,Other,29,Rajkot,Beauty,4,4685.71,18742.84,2025-02-05,UPI
T100703,C1579,Other,27,Vadodara,Sports,1,1916.57,1916.57,2025-02-27,Card
T101277,C1131,Male,34,Mumbai,beauty ,2,4031.19,8062.38,2025-01-22,Cash
T100267,null,Female,44,Vadodara,Beauty,-2,550.41,-500,2025-01-10,Card
T101956,C1134,Male,63,Nashik,Groceries,7,539.37,3775.59,2025-11-30,Cash
T100527,C1466,Other,42,Jaipur,Fashion,3,4838.31,14514.93,2025-05-12,Card
T100570,C1095,Male,N/A,Vadodara,Groceries,4,685.57,2742.28,2025-12-21,Card
T100855,C1231,Female,26,Pune,Groceries,3,479.42,1438.26,2025-08-17,Card
T101315,C1518,Female,43,Indore,,4,4940.52,19762.08,2025-03-02,Cash
T101235,C1252,Other,20,Vadodara,Groceries,4,2390.33,9561.32,2025-05-02,Card
T101968,C1216,O,60,Rajkot,Furniture,6,760.8,4564.8,N/A,Wallet
T100772,C1345,Female,37,Mumbai,Fashion,6,1049.12,6294.72,2025-09-02,Cash
T100150,C1216,Male,63,Ahmedabad,Sports,7,3932.26,27525.82,2025-08-16,Cash
T100538,C1468,Other,69,Jaipur,Furniture,7,3219.82,22538.74,2025-10-27,Wallet
T100302,C1105,Male,-5,Vadodara,Groceries,1,3319.97,3319.97,2025-09-11,Card
T101081,C1412,Other,60,Rajkot,Groceries,4,653.2,2612.8,2025-10-11,UPI
T100238,NA,Other,64,Vadodara,Beauty,3,287.96,863.88,2025-11-19,Card
T101335,C1469,Male,20,N/A,Furniture,5,1233.01,6165.05,2025-06-25,Cash
T100485,C1193,Female,29,Vadodara,Fashion,1,615.47,615.47,2025-02-15,Wallet
T101431,C1370,Male,34,Mumbai,Beauty,1,959.81,959.81,2025-08-21,UPI
T101306,C1585,Male,,Vadodara,Beauty,6,4280.77,25684.62,2025-01-05,Cash
T101993,C1057,male,28,Indore,Electronics,1,2237.08,2237.08,2025-04-03,Wallet
T101623,C1052,Other,19,Indore,Beauty,5,1300.68,6503.4,2025-08-21,UPI
T100732,C1033,Female,20,Mumbai,Fashion,6,143.95,863.7,2025-09-30,Wallet
T100201,None,Other,50,Rajkot,Sports,7,2990.11,20930.77,2025-05-27,Wallet
T101705,C1020,Male,70,Mumbai,Beauty,2,2677.34,5354.68,2025-04-14,e-wallet
T101887,C1350,Female,62,Vadodara,Furniture,3,4331.07,12993.21,2025-11-11,Cash
T100096,C1494,Female,32,Mumbai,Electronics,5,3537.86,17689.3,2025-04-26,Cash
T101652,C1172,Male,63,Vadodara,Furniture,1,2953.55,2953.55,2025-01-30,Card
T101598,C1366,Male,33,Delhi,Fashion,7,4179.71,29257.97,2025-02-09,Wallet
T100756,C1284,Other,60,Pune,Beauty,4,3532.68,14130.72,2025-08-28,Cash
T100443,C1341,Other,48,Vadodara,Furniture,1,4832.13,4832.13,2025-03-19,Wallet
T101926,C1047,Female,57,Nashik,Fashion,1,4514.55,4514.55,2025-10-25,UPI
T101137,C1322,Other,34,Nashik,Groceries,7,2299.73,16098.11,2025-09-21,UPI
T100904,C1593,Other,70,Rajkot,Furniture,5,712.47,3562.35,2025-04-26,UPI
T101214,C1151,Female,19,Jaipur,Fashion,1,4779.25,4779.25,2025-03-03,Wallet
T100412,C1031,Female,48,Jaipur,Fashion,5,1608.76,8043.8,2025-09-05,UPI
T101981,C1195,Other,47,Indore,Groceries,7,2811.3,19679.1,2025-10-11,UPI
T101918,C1465,Male,25,Ahmedabad,Sports,7,1351.22,9458.54,2025-06-19,UPI
T101830,C1152,Female,36,Surat,Sports,5,4398.66,21993.3,2025-12-30,e-wallet
T100616,C1015,Other,50,Pune,Beauty,4,4129.38,16517.52,2025-09-14,UPI
T101583,C1345,Other,null,Rajkot,Electronics,5,2191.43,wrong,2025-08-30,Wallet
T100095,C1194,Male,20,Ahmedabad,Groceries,5,2941.46,14707.3,2025-05-29,UPI
T101112,C1304,,64,Mumbai,Fashion,3,4435.64,13306.92,2025-11-29,Wallet
T100161,C1411,Female,30,Delhi,Fashion,-5,2720.72,8162.16,2025-01-12,UPI
T100530,C1485,Male,58,N/A,Groceries,6,4928.43,29570.58,2025-05-23,wallet
T100790,C1202,Female,35,Surat,Furniture,2,3993.59,7987.18,2025-12-13,Cash
T101039,C1107,Other,70,Indore,Fashion,1,1175.08,1175.08,2025-06-26,Cash
T100149,C1089,Female,46,Indore,Beauty,2,1300.96,2601.92,2025-06-22,UPI
T101524,C1535,Female,61,Ahmedabad,?,1,3597.68,3597.68,2025-03-09,Card
T100775,C1093,Other,38,Mumbai,Beauty,5,0,12502.2,2025-10-04,UPI
T101295,C1030,Female,47,Vadodara,Electronics,6,2125.24,12751.44,2025-08-03,Cash
T100561,C1221,Male,52,Mumbai,Beauty,1,3315.02,3315.02,2025-11-27,UPI
T100501,C1184,Male,N/A,Surat,Beauty,4,647.51,2590.04,2025-07-30,Card
T100084,C1263,Other,33,Pune,Sports,3,1175.02,3525.06,2025-07-25,UPI
T100380,C1072,Male,48,Vadodara,Electronics,7,4033.49,28234.43,2025-03-15,Cash
T101327,C1209,Other,61,Surat,Beauty,2,2309.54,4619.08,2025-09-12,wallet
T100809,C1363,Male,64,mumbai,Beauty,1,2143.62,2143.62,2025-12-26,Cash
T100454,C1558,Male,37,Surat,Fashion,7,1772.61,12408.27,null,UPI
T101957,C1212,Male,60,Mumbai,Fashion,6,2804.62,16827.72,2025-11-03,UPI
T100446,C1291,Female,19,Indore,N/A,3,2724.06,8172.18,2025-04-12,Wallet
T100079,C1490,O,69,Pune,Electronics,4,3696.33,14785.32,2025-01-17,CASH
T101967,C1099,Other,23,Jaipur,Fashion,2,4907.59,9815.18,2025-09-08,Wallet
T101512,C1217,Female,46,Pune,Furniture,6,726.33,4357.98,2025-07-29,Cash
T101179,C1417,Male,64,Pune,Fashion,3,3038.57,9115.71,2025-05-21,Cash
T100801,C1010,Male,59,N/A,Groceries,7,3098.63,21690.41,2025-10-24,UPI
T101162,C1152,Male,27,Indore,beauty ,3,3306.94,9920.82,2025-08-17,UPI
T101344,C1018,Other,58,Vadodara,Furniture,7,4856.52,33995.64,2025-04-16,Wallet
T101460,C1483,male,51,Rajkot,Fashion,4,948.59,3794.36,2025-08-03,Wallet
T101757,C1431,FEMALE,68,Nashik,Beauty,3,1070.93,3212.79,15/01/2025,Wallet
T101966,C1506,Male,51,Indore,Furniture,4,4847.32,19389.28,2025-10-12,Wallet
T100791,C1113,Male,54,Rajkot,Groceries,4,503.15,2012.6,not-a-date,Cash
T100030,C1597,Other,26,Mumbai,Fashion,2,1379.47,2758.94,2025-04-13,UPI
T100916,C1201,Female,34,Pune,Groceries,5,2458.74,12293.7,2025-02-20,UPI
T101670,C1465,Male,27,Vadodara,Beauty,1,3365.18,3365.18,2025-05-28,Wallet
T101573,C1521,Other,57,Mumbai,Beauty,1,93.55,93.55,2025-12-11,UPI
T101793,C1118,Male,69,Jaipur,Beauty,5,2352.71,11763.55,2025-04-03,CASH
T100268,C1406,Male,67,Indore,beauty ,4,1081.48,4325.92,2025-07-11,UPI
T100453,C1181,Male,49,Delhi,Groceries,4,4023.35,16093.4,N/A,Wallet
T101258,C1524,Male,59,Pune,Fashion,1,4212.41,4212.41,2025-05-15,Wallet
T100656,C1447,Other,25,Rajkot,Furniture,4,2193.86,8775.44,2025-11-23,unknown
T100866,C1457,Other,56,Pune,Sports,6,871.51,5229.06,2025-06-21,UPI 
T100056,C1155,Female,45,None,Groceries,7,1736.14,12152.98,2025-03-04,Cash
T100818,C1214,Male,69,Ahmedabad,grocery,1,277.59,277.59,not-a-date,Wallet
T101727,C1277,Other,43,Rajkot,Electronics,1,788.57,788.57,2025-10-03,Card
T101467,C1045, M ,66,Vadodara,Groceries,5,4379.36,21896.8,2025-07-22,Card
T100671,C1339,Female,61,Jaipur,Electronics,7,1686.19,11803.33,2025-02-28,card
T101198,C1086,Female,61,Vadodara,Electronics,7,4283.76,29986.32,2025-04-24,Cash
T100191,C1402,Other,36,Ahmedabad,Groceries,6,4054.44,24326.64,N/A,Wallet
T100271,C1440,Female,48,Indore,Sports,7,3130.55,21913.85,2025-01-24,Wallet
T101292,C1562,Female,29,Ahmedabad,Beauty,7,unknown,24757.18,2025-02-27,UPI
T101092,C1587,Male,34,Nashik,Furniture,7,3059.18,21414.26,2025-08-29,UPI
T100458,C1009,Male,63,Vadodara,Sports,3,587.02,1761.06,2025-11-14,UPI
T101040,C1442,female,27,Ahmedabad,Fashion,1,3637.32,3637.32,2025-02-08,upi
T100750,C1152,Male,unknown,Surat,Furniture,5,2404.64,12023.2,2025-07-05,UPI
T101979,C1193,Male,33,Vadodara,Sports,6,1417.19,?,2025-10-16,Cash
T100369,C1303,Female,21,Mumbai,Electronics,3,4338.3,13014.9,2025-08-13,Cash
T100061,C1130,Female,46,Pune,Sports,1,1429.34,1429.34,2025-07-23,Card
T101609,C1553,m,58,Nashik,Beauty,6,1834.99,11009.94,2025-10-26,Cash
T100091,C1439,Female,35,Pune,Groceries,7,127.04,889.28,2025-12-23,Cash
T101287,C1158,Female,65,Delhi,Beauty,2,3893.82,7787.64,2025-11-16,Card
T100862,C1103,Other,43,Rajkot,Electronics,4,2699.98,10799.92,2025-07-18,Card
T100864,C1199,Female,37,Nashik,Electronics,3,2003.75,-500,2025-06-26,UPI
T101127,C1101,Male,42,mumbai,Electronics,6,2543.42,15260.52,,Card
T101645,C1579,Other,48,Ahmedabad,Electronics,3,4961.89,14885.67,2025-01-22,UPI
T101697,C1330,Male,41,Pune,Electronics,5,4301.19,21505.95,2025-06-30,Card
T101916,C1233,Male,61,Vadodara,Groceries,1,3688.42,3688.42,2025-07-27,UPI
T101536,C1062,other,28,Delhi,Sports,5,2343.65,11718.25,2025-03-04,Wallet
T100824,C1468,Female,67,Mumbai,Furniture,5,4138.85,20694.25,2025-02-05,Card
T100166,C1188,Other,,Rajkot,Fashion,5,3129.3,15646.5,2025-11-11,Wallet
T101334,C1366,Other,27,Jaipur,Furniture,4,1918.25,7673.0,2025-06-26,UPI
T101036,C1393,Other,57,Nashik,Groceries,2,648.5,1297.0,2025-05-08,Wallet
T100667,C1442,N/A,42,Surat,Furniture,4,660.95,2643.8,2025-12-12,UPI
T100448,C1269,Other,66,Surat,Beauty,7,1851.87,12963.09,2025-06-01,Card
T101331,C1157,Female,28,Nashik,Electronics,3,846.96,2540.88,2025-06-10,Cash
T100697,C1167,FEMALE,66,Delhi,Sports,4,3448.77,13795.08,2025-05-28,Wallet
T100441,C1119,Female,27,Surat,Groceries,3,4899.71,NA,2025-01-19,Wallet
T100469,C1332,Other,21,Vadodara,Beauty,6,1678.7,10072.2,2025-10-27,UPI
T101019,C1176,Other,28,Vadodara,Electronics,5,930.31,4651.55,2025-02-05,wallet
T100579,C1359,Male,44,Pune,Beauty,5,4817.83,24089.15,2025-07-01,Cash
T100505,C1415,Male,22,Delhi,Groceries ,5,3364.72,16823.6,2025-09-13,Wallet
?,C1050,Female,40,Ahmedabad,Sports,6,1642.47,9854.82,2025-10-25,UPI
T101072,C1341,Female,40,Mumbai,Beauty,5,3934.77,19673.85,2025-07-05,Cash
T101073,C1572,Male,49,Pune,Electronics,1,3354.91,3354.91,2025-04-02,Card
T101177,C1425,Male,22,Jaipur,Groceries,1,1787.26,1787.26,2025-05-26,Cash
T101741,C1308,FEMALE,66,Nashik,Electronics,5,3793.17,18965.85,2025-10-23,UPI
T101994,C1576,Male,55,Surat,Furniture,1,425.78,425.78,2025-12-17,Card
T101480,C1488,Male,19,Nashik,grocery,7,1056.07,-500,2025-09-13,UPI
T101965,C1465,Other,64,Vadodara,Electronics,6,4467.31,26803.86,2025-03-04,Cash
T100253,C1335,Other,38,Mumbai,Groceries,6,4136.86,unknown,2025-12-26,UPI
T100746,C1042,Female,18,Vadodara,Fashion,6,1506.29,9037.74,2025-06-13,Cash
T100392,C1259,Male,29,Vadodara ,Electronics,5,971.57,NA,2025-08-09,Cash
T100881,C1246,Other,62,vadodara,Groceries,2,2424.41,4848.82,2025-07-06,Cash
T101881,C1490,Female,35,Delhi,Beauty,7,2314.49,16201.43,2025-03-05,UPI
T101145,C1585,Other,34,Vadodara,Fashion,5,-100,544.8,2025-08-02,Card
T101590,C1129,Other,28,Jaipur,ELECTRONICS,5,4293.66,21468.3,2025-12-12,UPI
T100920,C1003,Female,38,Rajkot,Electronics,7,4945.03,34615.21,2025-04-04,UPI
T100848,C1402,Male,NA,Delhi NCR,Fashion,4,2016.0,8064.0,2025-07-07,unknown
T100797,C1191,Other,36,Jaipur,Groceries,6,589.89,3539.34,2025-04-11,Wallet
T101273,C1096,Male,66,Pune,Electronics,4,1327.09,unknown,2025-02-06,UPI
T100646,C1076,Other,38,Surat,BEAUTY,7,4867.59,34073.13,2025-12-07,Wallet
T101030,C1291,Other,68,Surat,Sports,5,3365.94,16829.7,2025-01-14,UPI
T100013,C1114,Other,57,Rajkot,BEAUTY,3,3891.78,11675.34,2025-10-29,Card
T100941,C1182,Female,61,Ahmedabad,Electronics,2,153.19,306.38,2025-01-21,Card
T100396,C1206,Other,49,Jaipur,Electronics,6,299.89,1799.34,2025-08-25,UPI
T101588,C1183,Male,44,Jaipur, Electronics ,6,3719.02,22314.12,2025-12-11,Cash
T101761,C1083,Male,49, VADODARA,Fashion,7,4482.79,31379.53,2025-08-07,Wallet
T100755,C1568,Other,41,Pune,Sports,1,532.59,532.59,2025-09-07,Cash
T101695,C1158,Other,43,Mumbai,Sports,3,716.36,2149.08,2025-12-04,Card
T101023,C1238,Female,66,Indore,Furniture,6,1276.63,7659.78,2025-08-30,UPI
T101298,C1339,Female,55,Indore,Groceries,3,2664.2,7992.6,2025-04-21,Card
T100673,C1215,Female,40,Nashik,Groceries,4,81.04,324.16,2025-02-14,Cash
T100705,C1334,Male,65,Surat,Fashion,4,4061.24,16244.96,N/A,Wallet
T100511,C1350,Female,41,Nashik,Electronics,7,3002.08,-500,2025-09-02,UPI 
T101792,C1153,Other,39,Mumbai,Groceries,1,4468.8,4468.8,2025-03-23,UPI
T101466,null,Female,63,Jaipur,N/A,unknown,2761.13,13805.65,2025-11-02,UPI
T101049,C1423,Male,,Ahmedabad,Sports,4,2725.55,10902.2,2025-09-23,Cash
T101056,C1213,Other,25,Surat,Sports,-2,1880.68,13164.76,2025-07-16,Cash
T101286,C1212,Other,35,Rajkot,Beauty,7,560.53,3923.71,2025-05-09,Wallet
T100614,C1324,Female,45,Nashik,Beauty,1,883.48,883.48,2025-01-12,Wallet
T101289,C1196,Female,48, VADODARA,Furniture,1,4815.48,4815.48,2025-04-05,UPI
