TransactionID,CustomerID,Age,Quantity,Price,TotalAmount,PurchaseDate,Month,Gender_Female,Gender_Male,Gender_Other,City_Ahmedabad,City_Delhi,City_Delhi Ncr,City_Indore,City_Jaipur,City_Mumbai,City_Nashik,City_Pune,City_Rajkot,City_Surat,City_Vadodara,ProductCategory_Beauty,ProductCategory_Electronics,ProductCategory_Fashion,ProductCategory_Furniture,ProductCategory_Groceries,ProductCategory_Sports,PaymentMode_Card,PaymentMode_Cash,PaymentMode_E-wallet,PaymentMode_UPI,PaymentMode_Wallet,DayOfWeek_Friday,DayOfWeek_Monday,DayOfWeek_Saturday,DayOfWeek_Sunday,DayOfWeek_Thursday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,AgeGroup_18-25,AgeGroup_26-40,AgeGroup_41-60,AgeGroup_60+,Age_Normalized,Quantity_Normalized,Price_Normalized,TotalAmount_Normalized
T100913,C1392,53,5,3943.94,19719.7,2025-08-09,2025-08,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.6730769230769231,0.6666666666666666,0.7872983769024624,0.5689703417185673
T100428,C1094,18,6,1296.49,7778.94,2025-03-18,2025-03,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.8333333333333334,0.251837993628963,0.22344194407252507
T100385,C1494,50,1,902.48,902.48,2025-09-11,2025-09,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.6153846153846154,0.0,0.17214744400060678,0.02445861258632958
T101716,C1457,70,1,607.67,607.67,2025-11-24,2025-11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1.0,0.0,0.11252060474288313,0.015927729551243892
T101138,C1117,28,4,4821.53,19286.12,2025-04-21,2025-04,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.19230769230769232,0.5,0.9647954694847549,0.5564238871669834
T101799,C1055,60,1,4876.26,4876.26,2025-05-04,2025-05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.8076923076923077,0.0,0.97586489356323,0.13944742703347449
T100967,C1068,56,2,3901.4,7802.8,2025-10-09,2025-10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.7307692307692307,0.16666666666666666,0.7786944430398948,0.2241323781460543
T101658,C1160,49,7,1150.95,8056.65,2025-08-29,2025-08,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.5961538461538461,1.0,0.22240177984527484,0.2314780063759532
T100789,C1421,62,5,2086.16,10430.8,2025-08-13,2025-08,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.8461538461538461,0.6666666666666666,0.41155281387470294,0.30017851164290027
T101355,C1045,28,3,3040.66,9121.98,2025-02-03,2025-02,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.19230769230769232,0.3333333333333333,0.6046053496485816,0.2623053379582192
T101844,C1293,36,5,2745.79,13728.95,2025-10-23,2025-10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.34615384615384615,0.6666666666666666,0.5449663750821662,0.395616698550291
T101386,C1583,54,5,502.69,2513.45,2025-01-31,2025-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.6923076923076923,0.6666666666666666,0.09128785963492947,0.07107506604120555
T101784,C1411,60,2,3626.35,7252.7,2025-12-23,2025-12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.8076923076923077,0.16666666666666666,0.7230641654447084,0.20821419776682484
T100889,C1340,66,6,3883.8,23302.8,2025-09-03,2025-09,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.9230769230769231,0.8333333333333334,0.7751347524902665,0.6726540939760061
T101604,C1170,33,7,1498.99,10492.93,2025-02-01,2025-02,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.28846153846153844,1.0,0.29279466046417557,0.30197636030125613
T101886,C1143,64,7,4625.87,32381.09,2025-01-22,2025-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.8846153846153846,1.0,0.9252222278404206,0.9353515267245153
T100712,C1050,37,5,91.3,456.5,2025-05-22,2025-05,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.36538461538461536,0.6666666666666666,0.008082115588815289,0.011553340662081713
T100373,C1510,47,6,2504.3,15025.8,2025-11-11,2025-11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.5576923076923077,0.8333333333333334,0.49612378014865754,0.4331434977228118
T101880,C1113,41,4,2521.12,10084.48,2025-07-28,2025-07,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.4423076923076923,0.5,0.4995257116852909,0.2901570896670146
T100601,C1398,41,1,3786.66,3786.66,2025-01-12,2025-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.4423076923076923,0.0,0.7554876877180563,0.10791779725487348
T100486,C1416,50,2,1772.89,3545.78,2025-07-20,2025-07,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6153846153846154,0.16666666666666666,0.3481923446427669,0.10094748042202711
T100360,C1516,66,1,2809.66,2809.66,2025-07-25,2025-07,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.9230769230769231,0.0,0.5578844111847094,0.07964646071514038
T100359,C1077,44,1,473.66,473.66,2025-01-23,2025-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5,0.0,0.08541639277949134,0.012049897606832808
T100658,C1470,28,4,743.11,2972.44,2025-08-19,2025-08,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.19230769230769232,0.5,0.13991404156343226,0.08435680683790166
T100391,C1411,50,5,3573.07,17865.35,2025-01-03,2025-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.6153846153846154,0.6666666666666666,0.7122880113262882,0.5153112292186143
T101891,C1524,34,3,2594.64,7783.92,2025-02-18,2025-02,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.3076923076923077,0.3333333333333333,0.514395509935784,0.22358604975928853
T101923,C1513,50,7,332.29,2326.03,2025-03-29,2025-03,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.6153846153846154,1.0,0.056823582949891295,0.06565171507469914
T100951,C1187,33,2,2475.31,4950.62,2025-10-05,2025-10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.28846153846153844,0.16666666666666666,0.49026040349901395,0.14159917379406256
T101935,C1503,29,5,3019.37,15096.85,2025-06-01,2025-06,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.21153846153846154,0.6666666666666666,0.6002993376144005,0.43519946339440657
T100309,C1527,39,3,4066.2,12198.6,2025-08-26,2025-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.40384615384615385,0.3333333333333333,0.8120260909136876,0.35133313675542865
T101806,C1484,28,2,2884.35,5768.7,2025-03-28,2025-03,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0.19230769230769232,0.16666666666666666,0.5729908479546948,0.1652718605867185
T100627,C1060,67,6,1146.6,6879.6,2025-12-17,2025-12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.9423076923076923,0.8333333333333334,0.22152196996511098,0.19741784601352452
T101718,C1339,24,7,4779.85,33458.95,2025-08-11,2025-08,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.11538461538461539,1.0,0.9563654750467715,0.9665414374744812
T101782,C1422,56,7,2034.9,14244.3,2025-09-29,2025-09,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7307692307692307,1.0,0.40118521514891037,0.41052932217951454
T101637,C1357,40,4,2890.81,11563.24,2025-04-30,2025-04,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.4230769230769231,0.5,0.5742974161905243,0.33294779757028553
T101336,C1078,63,1,3807.79,3807.79,2025-02-20,2025-02,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8653846153846154,0.0,0.759761338929059,0.10852923363264683
T100510,C1536,37,4,3897.52,15590.08,2025-10-25,2025-10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.36538461538461536,0.5,0.7779096930778177,0.44947200312981345
T100148,C1018,62,1,3633.52,3633.52,2025-12-28,2025-12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.8461538461538461,0.0,0.7245143348333923,0.10348640270247356
T100648,C1171,63,3,1942.25,5826.75,2025-06-30,2025-06,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.8653846153846154,0.3333333333333333,0.3824462759771452,0.16695164675471388
T100215,C1338,37,1,358.43,358.43,2025-10-12,2025-10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.36538461538461536,0.0,0.062110532436668864,0.00871550036069827
T100423,C1519,33,2,1252.69,2505.38,2025-06-10,2025-06,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.28846153846153844,0.16666666666666666,0.24297921828386512,0.07084154538012505
T100205,C1423,42,4,2601.81,10407.24,2025-02-09,2025-02,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.46153846153846156,0.5,0.5158456793244678,0.29949675863483877
T100914,C1399,32,4,4733.12,18932.48,2025-05-10,2025-05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.2692307692307692,0.5,0.9469140921272184,0.5461906471936864
T100049,C1272,20,4,1133.32,4533.28,2025-07-21,2025-07,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.038461538461538464,0.5,0.2188360216413005,0.12952265425312887
T101233,C1216,65,3,2216.24,6648.72,2025-05-12,2025-05,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9038461538461539,0.3333333333333333,0.43786216311877424,0.1907368980296007
T100245,C1054,23,1,1274.5,1274.5,2025-05-04,2025-05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.09615384615384616,0.0,0.24739040299337617,0.035223712503946264
T100236,C1107,53,4,3963.26,15853.04,2025-07-24,2025-07,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6730769230769231,0.5,0.7912059463012591,0.45708124638108083
T100297,C1242,23,6,418.39,2510.34,2025-08-30,2025-08,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.09615384615384616,0.8333333333333334,0.07423775092278909,0.07098507232919064
T101234,C1399,66,2,4303.38,8606.76,2025-01-05,2025-01,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.9230769230769231,0.16666666666666666,0.8599969661728271,0.2473964761240316
T100523,C1375,50,4,1066.96,4267.84,2025-05-11,2025-05,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6153846153846154,0.5,0.20541437022804268,0.12184164752732872
T101492,C1562,48,4,1139.7,4558.8,2025-12-29,2025-12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5769230769230769,0.5,0.2201264094655408,0.13026112355557923
T101070,C1515,65,4,1788.12,7152.48,2025-10-26,2025-10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.9038461538461539,0.5,0.35127269049906457,0.20531414316292304
T101986,C1021,50,3,1484.37,4453.11,2025-11-22,2025-11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.6153846153846154,0.3333333333333333,0.2898376902462456,0.12720278419131678
T100900,C1031,25,1,1535.79,1535.79,2025-07-12,2025-07,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.1346153846153846,0.0,0.30023764979521667,0.04278463115744356
T100600,C1072,43,2,4466.69,8933.38,2025-08-17,2025-08,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.4807692307692308,0.16666666666666666,0.8930272538807705,0.25684784146753986
T100212,C1406,27,1,707.11,707.11,2025-11-02,2025-11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.17307692307692307,0.0,0.13263285634828337,0.018805213384929728
T100986,C1585,68,5,2769.37,13846.85,2025-07-22,2025-07,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.9615384615384616,0.6666666666666666,0.5497355513980886,0.39902835727908786
T101930,C1402,43,2,4177.05,8354.1,2025-01-19,2025-01,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.4807692307692308,0.16666666666666666,0.8344460737220003,0.24008528278715446
T101187,C1010,24,3,824.74,2474.22,2025-03-06,2025-03,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.11538461538461539,0.3333333333333333,0.15642412903878242,0.06993987204688239
T101360,C1568,18,1,2010.56,2010.56,2025-06-06,2025-06,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.3962623249228902,0.056522995997739446
T100602,C1380,18,5,811.54,4057.7,2025-10-16,2025-10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.6666666666666666,0.15375436112656116,0.11576085053607026
T100871,C1421,43,4,2268.27,9073.08,2025-11-17,2025-11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4807692307692308,0.5,0.44838549830611313,0.26089032428698794
T100835,C1005,23,7,3890.41,27232.87,2025-02-06,2025-02,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.09615384615384616,1.0,0.7764716589978257,0.7863780771845105
T100785,C1511,51,4,2097.29,8389.16,2025-02-19,2025-02,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.6346153846153846,0.5,0.41380391363705316,0.2410998099714769
T100169,C1442,69,1,4347.3,4347.3,2025-11-25,2025-11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.9807692307692307,0.0,0.8688800121353087,0.1241409724008673
T101311,C1208,65,5,2234.87,11174.35,2025-04-24,2025-04,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.9038461538461539,0.6666666666666666,0.4416301764676138,0.3216945324045365
T100220,C1015,57,5,521.05,2605.25,2025-08-16,2025-08,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.75,0.6666666666666666,0.0950012640946554,0.07373147207431456
T100979,C1326,49,1,3075.8,3075.8,2025-05-04,2025-05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.5961538461538461,0.0,0.6117125954391465,0.08734772326036513
T100237,C1467,43,2,1545.62,3091.24,2025-01-02,2025-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4807692307692308,0.16666666666666666,0.302225817869242,0.08779450876310153
T101826,C1556,63,7,267.5,1872.5,2025-11-11,2025-11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.8653846153846154,1.0,0.0437194721140719,0.05252796966951473
T100098,C1361,54,7,4445.16,31116.12,2025-06-21,2025-06,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.6923076923076923,1.0,0.8886727006118218,0.8987472354423595
T100745,C1380,64,5,441.47,2207.35,2025-02-05,2025-02,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.8846153846153846,0.6666666666666666,0.07890579966627902,0.06221748557568631
T101200,C1473,25,4,4247.41,16989.64,2025-08-11,2025-08,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.1346153846153846,0.5,0.8486767457147191,0.4899709097496177
T101002,C1241,35,2,2692.78,5385.56,2025-04-05,2025-04,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.3269230769230769,0.16666666666666666,0.5342448298528594,0.15418498250909993
T100357,C1298,66,1,252.8,252.8,2025-03-05,2025-03,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.9230769230769231,0.0,0.04074632148455277,0.005658897209529379
T101633,C1416,36,2,427.0,854.0,2025-11-26,2025-11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.34615384615384615,0.16666666666666666,0.07597916772007887,0.023055752406753057
T101597,C1282,47,4,968.93,3875.72,2025-11-05,2025-11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5576923076923077,0.5,0.18558729837690244,0.1104949162233777
T101681,C1227,35,3,3458.4,10375.2,2025-07-06,2025-07,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.3269230769230769,0.3333333333333333,0.6890954138645902,0.29856962084289096
T100143,C1441,56,3,2504.3,7512.9,2025-07-25,2025-07,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.7307692307692307,0.3333333333333333,0.49612378014865754,0.21574357521578957
T100022,C1421,23,4,1015.27,4061.08,2025-10-26,2025-10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.09615384615384616,0.5,0.19495980178995803,0.11585865720700608
T101391,C1544,36,5,4405.73,22028.65,2025-06-04,2025-06,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.34615384615384615,0.6666666666666666,0.880697780249785,0.6357841620905395
T101270,C1242,45,1,3300.2,3300.2,2025-09-16,2025-09,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5192307692307693,0.0,0.6570986499469079,0.09384116023018713
T100356,C1545,18,4,1399.11,5596.44,2025-07-29,2025-07,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.5,0.2725934165950346,0.16028719279517864
T101796,C1042,57,2,1895.59,3791.18,2025-11-22,2025-11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.75,0.16666666666666666,0.37300905091773273,0.10804859197458647
